"Limit","Gender","Education","MarriageStatus","Age","Status1","Status2","Status3","Status4","Status5","Status6","Bill1","Bill2","Bill3","Bill4","Bill5","Bill6","Payment1","Payment2","Payment3","Payment4","Payment5","Payment6","IndLevel","Default"
240000,"M","Univ","Single",28,-1,-1,-1,-1,-1,-1,4882,5205,2747,4594,4092,4361,5220,2773,4614,4104,4374,2443,1,"Y"
360000,"M","Univ","Married",35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,4.2,"N"
50000,"M","GradS","Single",64,0,0,0,0,0,0,46351,20055,18725,17848,14610,11314,1377,1165,522,1000,485,426,3.4,"N"
150000,"F","Univ","Single",40,-2,-2,-2,-2,-2,-2,8482,3493,4724,5749,345,349,3514,4724,5749,345,349,24026,2,"N"
150000,"M","GradS","Single",33,0,0,0,0,0,-2,26739,32939,34300,35100,-1200,-1200,7000,2500,1000,0,0,0,1.1,"N"
230000,"F","GradS","Single",28,0,0,0,0,0,0,30141,131255,110503,99283,97599,96116,120093,8034,3013,4010,5882,3000,0.6,"N"
290000,"F","HS","Single",32,0,0,0,0,0,0,21981,24610,27009,26671,24826,22287,3000,3000,3000,3000,3000,3000,1.8,"N"
160000,"F","Univ","Married",49,-1,-1,2,0,0,2,16982,21353,20723,21873,25999,26377,4980,0,1500,4520,939,0,1.1,"N"
290000,"M","GradS","Married",36,1,-2,-1,-1,0,0,0,0,568,16166,16726,17427,0,568,16166,1000,1000,1000,3.6,"N"
360000,"F","GradS","Single",25,0,0,0,0,0,0,160411,163079,166445,168301,171870,175458,6200,6200,4768,5000,5000,5023,3.6,"N"
210000,"M","Univ","Married",34,3,2,2,2,2,2,2500,2500,2500,2500,2500,2500,0,0,0,0,0,0,4.2,"Y"
20000,"M","Univ","Single",23,-1,0,0,0,0,0,15879,15441,9124,12915,4305,18495,4000,2000,10000,500,16000,1000,0.4,"N"
50000,"F","GradS","Married",25,0,0,0,0,0,0,30479,31200,31817,29229,29529,30053,1528,1461,1030,1070,1320,1212,0.8,"Y"
20000,"F","Univ","Single",23,0,0,0,0,0,-1,17772,19058,19681,19507,14656,756,1877,1500,500,0,756,23750,0.9,"N"
380000,"M","GradS","Single",27,-1,0,0,0,0,0,73903,66541,58665,43837,72069,61925,2924,2555,1515,37056,2413,1522,1.6,"N"
2e+05,"M","Univ","Single",29,0,0,0,0,0,0,69182,69862,44150,43874,41378,832,3000,3500,1500,500,1000,109586,0.5,"N"
1e+05,"M","Univ","Single",36,0,0,0,0,-2,-2,2069,3521,5399,0,0,0,1500,2000,0,0,0,1700,0.8,"N"
20000,"M","HS","Single",28,-1,2,2,2,0,0,3515,4301,5075,4845,6753,9615,1000,1000,0,2000,3000,2000,1.8,"Y"
2e+05,"F","GradS","Single",28,1,-2,-2,-1,-1,0,0,0,0,1545,1156,6099,0,0,1545,1156,5000,3000,1.5,"N"
60000,"F","Univ","Single",34,2,0,0,0,0,-1,60707,59675,59690,59513,28494,29149,2102,2922,1586,570,31110,1212,0.3,"N"
180000,"M","Univ","Married",49,-2,-2,-2,-2,-2,-2,0,0,0,0,45,0,0,0,0,45,0,2380,1.3,"N"
5e+05,"F","GradS","Single",35,0,0,0,0,0,0,3994,11230,10925,11795,14384,15806,11160,1244,1114,2703,3435,402,1.8,"N"
30000,"F","Univ","Married",25,1,2,0,0,0,0,30347,28517,29709,29833,29306,29348,0,1800,1000,1041,1138,932,4.1,"N"
60000,"F","HS","Married",35,1,2,0,0,2,0,10722,10254,15043,19738,19195,19473,0,5000,5000,0,2000,1000,5.4,"Y"
120000,"F","HS","Married",39,2,2,2,2,4,3,49437,51505,53582,58310,57150,55961,3500,3500,6200,358,0,2100,2.5,"Y"
360000,"M","GradS","Single",29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,2.3,"Y"
210000,"M","GradS","Married",37,-1,-1,-1,-1,-1,-1,3094,565,1188,2667,546,578,565,1188,2667,546,578,2769,3.7,"N"
10000,"M","Univ","Married",59,0,0,0,0,0,0,6827,7849,8704,8877,9063,9318,1290,1145,318,329,406,186,0.4,"N"
90000,"F","Univ","Married",38,0,0,0,0,0,0,88758,89680,89876,49922,46302,45430,3900,3487,1629,4000,3000,813,3.7,"N"
210000,"F","GradS","Married",35,-1,-1,-2,-2,-2,-2,3805,0,0,0,0,0,0,0,0,0,0,0,5.4,"N"
280000,"F","Univ","Married",37,0,0,0,0,0,0,29078,30144,32629,35126,35759,42317,1515,3000,3000,1292,7147,1415,5,"N"
20000,"F","GradS","Single",30,1,2,2,-1,0,-1,11730,7221,0,3041,3041,1326,1712,0,3041,0,1326,0,1.3,"N"
60000,"F","HS","Single",44,0,0,0,0,0,0,56403,57765,59198,31437,32113,33591,2300,2600,1600,1200,2000,1300,2.8,"N"
80000,"F","Univ","Married",30,1,2,0,0,0,0,82891,80997,81380,75374,77158,78710,0,3299,2699,3000,2987,3100,0.5,"N"
1e+05,"F","Univ","Single",26,-1,-1,-1,-1,-1,-1,780,0,390,390,390,380,0,390,390,390,380,400,0.3,"N"
360000,"F","Univ","Married",40,1,-2,-1,0,-1,-1,-242,-3748,5512,4102,1756,4400,649,10000,0,1756,4400,0,4.5,"N"
180000,"F","GradS","Single",53,-2,-2,-2,-2,-2,-2,-1580,-1580,-1580,-1580,-1580,-1580,0,0,0,0,0,0,2.9,"N"
